name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Julia Michalska,Poland,27,179.0,69.0,F,1985-07-21 00:00:00,0,0,1,1,Rowing,Women's Double Sculls
Alexander Mikhaylin,Russian Federation,32,195.0,115.0,M,1979-08-18 00:00:00,0,1,0,1,Judo,Men's +100kg
Hiromi Miyake,Japan,26,146.0,48.0,F,1985-11-18 00:00:00,0,1,0,1,Weightlifting,Women's 48kg
Alin George Moldoveanu,Romania,29,174.0,74.0,M,1983-05-03 00:00:00,1,0,0,1,Shooting,Men's 10m Air Rifle
Daniele Molmenti,Italy,28,170.0,68.0,M,1984-08-01 00:00:00,1,0,0,1,Canoe Slalom,Men's Kayak (K1)
Christopher Morgan,Australia,29,191.0,85.0,M,1982-12-15 00:00:00,0,0,1,1,Rowing,Men's Quadruple Sculls
Andreanne Morin,Canada,30,177.0,71.0,F,1981-08-09 00:00:00,0,1,0,1,Rowing,Women's Eight
Vladimir Morozov,Russian Federation,20,180.0,73.0,M,1992-06-16 00:00:00,0,0,1,1,Swimming,"Men's 100m Backstroke, Men's 4x100m Freestyle Relay"
Dorian Mortelette,France,28,194.0,90.0,M,1983-11-24 00:00:00,0,1,0,1,Rowing,Men's Pair
Vasily Mosin,Russian Federation,40,182.0,77.0,M,1972-05-09 00:00:00,0,0,1,1,Shooting,Men's Double Trap
Lukas Mueller,Germany,25,208.0,102.0,M,1987-05-19 00:00:00,1,0,0,1,Rowing,Men's Eight
Camille Muffat,France,22,183.0,71.0,F,1989-10-28 00:00:00,1,1,1,3,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Eric Murray,New Zealand,30,195.0,98.0,M,1982-05-06 00:00:00,1,0,0,1,Rowing,Men's Pair
Meghan Musnicki,United States of America,29,183.0,77.0,F,1983-02-05 00:00:00,1,0,0,1,Rowing,Women's Eight
Aliya Mustafina,Russian Federation,17,162.0,48.0,F,1994-09-30 00:00:00,0,1,1,2,Gymnastics - Artistic,"Women's Individual All-Around, Women's Team, Women's Qualification"
Magdalena Fularczyk,Poland,25,173.0,72.0,F,1986-09-16 00:00:00,0,0,1,1,Rowing,Women's Double Sculls
Mahe Drysdale,New Zealand,33,199.0,100.0,M,1978-11-19 00:00:00,1,0,0,1,Rowing,Men's Single Sculls
Masashi Ebinuma,Japan,22,170.0,66.0,M,1990-02-15 00:00:00,0,0,1,1,Judo,Men's -66kg
Matthew Langridge,Great Britain,29,195.0,96.0,M,1983-05-20 00:00:00,0,0,1,1,Rowing,Men's Eight
Tuvshinbayar Naidan,Mongolia,28,178.0,100.0,M,1984-06-01 00:00:00,0,1,0,1,Judo,Men's -100kg
Riki Nakaya,Japan,23,168.0,73.0,M,1989-07-25 00:00:00,0,1,0,1,Judo,Men's -73kg
Hyun Hee Nam,Republic of Korea,30,155.0,44.0,F,1981-09-29 00:00:00,0,0,1,1,Fencing,"Women's Individual Foil, Women's Team Foil"
Gagan Narang,India,29,180.0,115.0,M,1983-05-06 00:00:00,0,0,1,1,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
George Nash,Great Britain,22,195.0,97.0,M,1989-10-02 00:00:00,0,0,1,1,Rowing,Men's Pair
Sizwe Ndlovu,South Africa,31,185.0,72.0,M,1980-09-24 00:00:00,1,0,0,1,Rowing,Men's Lightweight Four
Lia Neal,United States of America,17,178.0,73.0,F,1995-02-13 00:00:00,0,0,1,1,Swimming,Women's 4x100m Freestyle Relay
Jade Neilsen,Australia,21,175.0,70.0,F,1991-07-24 00:00:00,0,1,0,1,Swimming,Women's 4x200m Freestyle Relay
Mauro Nespoli,Italy,24,181.0,85.0,M,1987-11-22 00:00:00,1,0,0,1,Archery,"Men's Individual, Men's Team"
Marcel Nguyen,Germany,24,167.0,55.0,M,1987-09-08 00:00:00,0,1,0,1,Gymnastics - Artistic,"Men's Individual All-Around, Men's Team, Men's Qualification"
Andrew Nicholson,New Zealand,51,182.0,75.0,M,1961-08-01 00:00:00,0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, NEREO"
Ivan Nifontov,Russian Federation,25,172.0,81.0,M,1987-06-05 00:00:00,0,0,1,1,Judo,Men's -81kg
Masashi Nishiyama,Japan,27,178.0,90.0,M,1985-07-09 00:00:00,0,0,1,1,Judo,Men's -90kg
Daniel Noonan,Australia,32,187.0,90.0,M,1979-10-28 00:00:00,0,0,1,1,Rowing,Men's Quadruple Sculls
Natsumi Hoshi,Japan,21,164.0,54.0,F,1990-08-21 00:00:00,0,0,1,1,Swimming,"Women's 100m Butterfly, Women's 200m Butterfly"
Diego Occhiuzzi,Italy,31,180.0,80.0,M,1981-04-30 00:00:00,0,1,0,1,Fencing,"Men's Individual Sabre, Men's Team Sabre"
Ha Na Oh,Republic of Korea,27,175.0,65.0,F,08/01/1985,0,0,1,1,Fencing,Women's Team Foil
Jin Hyek Oh,Republic of Korea,30,182.0,100.0,M,1981-08-15 00:00:00,1,0,1,2,Archery,"Men's Individual, Men's Team"
Sam Oldham,Great Britain,19,168.0,62.0,M,1993-02-17 00:00:00,0,0,1,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Yun Chol Om,Democratic People's Republic  of Korea,20,152.0,56.0,M,1991-11-18 00:00:00,1,0,0,1,Weightlifting,Men's 56kg
Britta Oppelt,Germany,34,173.0,69.0,F,1978-07-05 00:00:00,0,1,0,1,Rowing,Women's Quadruple Sculls
Alejandra Orozco Loza,Mexico,15,156.0,47.0,F,1997-04-19 00:00:00,0,1,0,1,Diving,Women's Synchronised 10m Platform
Idalys Ortiz,Cuba,22,180.0,95.0,F,1989-09-27 00:00:00,1,0,0,1,Judo,Women's +78kg
Dimitrij Ovtcharov,Germany,23,185.0,78.0,M,1988-09-02 00:00:00,0,0,1,1,Table Tennis,"Men's Singles, Men's Team"
Jonathan Paget,New Zealand,28,190.0,80.0,M,1983-11-17 00:00:00,0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, CLIFTON PROMISE"
Kylie Palmer,Australia,22,173.0,68.0,F,1990-02-25 00:00:00,0,1,0,1,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 800m Freestyle, Women's 4x200m Freestyle Relay"
Alex Partridge,Great Britain,31,193.0,93.0,M,1981-01-25 00:00:00,0,0,1,1,Rowing,Men's Eight
Maria Paseka,Russian Federation,17,159.0,48.0,F,1995-07-19 00:00:00,0,1,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Automne Pavia,France,23,173.0,57.0,F,1989-01-03 00:00:00,0,0,1,1,Judo,Women's -57kg
Christinna Pedersen,Denmark,26,178.0,71.0,F,1986-05-12 00:00:00,0,0,1,1,Badminton,"Women's Doubles, Mixed Doubles"
Lauren Perdue,United States of America,21,170.0,65.0,F,1991-06-25 00:00:00,1,0,0,1,Swimming,Women's 4x200m Freestyle Relay
Thiago Pereira,Brazil,26,183.0,67.0,M,1986-01-26 00:00:00,0,1,0,1,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x100m Medley Relay"
Dimitri Peters,Germany,28,188.0,100.0,M,1984-05-04 00:00:00,0,0,1,1,Judo,Men's -100kg
Michael Phelps,United States of America,27,193.0,88.0,M,1985-06-30 00:00:00,2,2,0,4,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Zara Phillips,Great Britain,31,168.0,64.0,F,1981-05-15 00:00:00,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, HIGH KINGDOM"
Bartosz Piasecki,Norway,25,196.0,80.0,M,1986-12-09 00:00:00,0,1,0,1,Fencing,Men's Individual Epee
Caroline Powell,New Zealand,39,156.0,60.0,F,1973-03-14 00:00:00,0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, LENAMORE"
Brooke Pratley,Australia,32,191.0,75.0,F,1980-04-06 00:00:00,0,1,0,1,Rowing,Women's Double Sculls
Brian Price,Canada,36,163.0,55.0,M,1976-02-19 00:00:00,0,1,0,1,Rowing,Men's Eight
Leuris Pupo,Cuba,35,168.0,78.0,M,1977-04-09 00:00:00,1,0,0,1,Shooting,Men's 25m Rapid Fire Pistol
Daniel Purvis,Great Britain,21,168.0,63.0,M,1990-11-13 00:00:00,0,0,1,1,Gymnastics - Artistic,"Men's Individual All-Around, Men's Team, Men's Qualification"
Kai Qin,People's Republic of China,26,170.0,65.0,M,1986-01-31 00:00:00,1,0,0,1,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
Tom Ransley,Great Britain,26,198.0,100.0,M,1985-09-06 00:00:00,0,0,1,1,Rowing,Men's Eight
Maximilian Reinelt,Germany,23,194.0,96.0,M,1988-08-24 00:00:00,1,0,0,1,Rowing,Men's Eight
Roline Repelaer van Driel,Netherlands,28,189.0,84.0,F,1984-07-28 00:00:00,0,0,1,1,Rowing,Women's Eight
Kimberly Rhode,United States of America,33,163.0,83.0,F,1979-07-16 00:00:00,1,0,0,1,Shooting,"Women's Trap, Women's Skeet"
Jonelle Richards,New Zealand,31,162.0,57.0,F,1980-10-14 00:00:00,0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, FLINTSTAR"
Julia Richter,Germany,23,175.0,71.0,F,1988-09-29 00:00:00,0,1,0,1,Rowing,Women's Quadruple Sculls
Jong Sim Rim,Democratic People's Republic  of Korea,19,163.0,68.0,F,1993-02-05 00:00:00,1,0,0,1,Weightlifting,Women's 69kg
Teddy Riner,France,23,204.0,131.0,M,1989-04-07 00:00:00,1,0,0,1,Judo,Men's +100kg
Taylor Ritzel,United States of America,23,188.0,90.0,F,1988-09-04 00:00:00,1,0,0,1,Rowing,Women's Eight
Aida Roman,Mexico,24,168.0,61.0,F,1988-05-21 00:00:00,0,1,0,1,Archery,"Women's Individual, Women's Team"
Kyla Ross,United States of America,15,157.0,45.0,F,1996-10-24 00:00:00,1,0,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
