país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Santo Tomé y Príncipe,"STP","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","49.006","64.578"
Santo Tomé y Príncipe,"STP","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","392570292.501299"
Santo Tomé y Príncipe,"STP","Población, hombres","SP.POP.TOTL.MA.IN","35747","101751"
Santo Tomé y Príncipe,"STP","Población, mujeres","SP.POP.TOTL.FE.IN","28506","102576"
Santo Tomé y Príncipe,"STP","Población, total","SP.POP.TOTL","64253","204327"
Senegal,"SEN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","38.983","69.4"
Senegal,"SEN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","38.223","67.477"
Senegal,"SEN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","37.466","65.394"
Senegal,"SEN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","1003692374.55789","21070225734.7861"
Senegal,"SEN","Población, hombres","SP.POP.TOTL.MA.IN","1593240","7787318"
Senegal,"SEN","Población, mujeres","SP.POP.TOTL.FE.IN","1613509","8063249"
Senegal,"SEN","Población, total","SP.POP.TOTL","3206749","15850567"
Seychelles,"SYC","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","78.5"
Seychelles,"SYC","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","74.3"
Seychelles,"SYC","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","70.3"
Seychelles,"SYC","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","12012025.2477875","1497959568.97249"
Seychelles,"SYC","Población, hombres","SP.POP.TOTL.MA.IN","20412","47230"
Seychelles,"SYC","Población, mujeres","SP.POP.TOTL.FE.IN","21288","48613"
Seychelles,"SYC","Población, total","SP.POP.TOTL","41700","95843"
Sierra Leona,"SLE","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","31.968","52.82"
Sierra Leona,"SLE","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","30.371","52.214"
Sierra Leona,"SLE","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","28.773","51.61"
Sierra Leona,"SLE","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","322009471.56704","3775047333.92116"
Sierra Leona,"SLE","Población, hombres","SP.POP.TOTL.MA.IN","1119748","3742545"
Sierra Leona,"SLE","Población, mujeres","SP.POP.TOTL.FE.IN","1177362","3814667"
Sierra Leona,"SLE","Población, total","SP.POP.TOTL","2297110","7557212"
Somalia,"SOM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","38.525","58.427"
Somalia,"SOM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","36.977","56.714"
Somalia,"SOM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","35.481","55.073"
Somalia,"SOM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","7052000000"
